Data,Dissociation time,Displacement,Ligand RMSD,Interface RMSD,BSA,Results
1YVP,57.15,4.013,4.387,1.723,-16.571,0
1YVP,43.65,3.948,12.292,4.689,-12.403,0
1YVP,55.8,3.687,3.919,1.469,-12.45,0
1YVP,36.4,3.761,5.765,2.368,-10.553,0
1YVP,78.3,2.352,2.708,1.09,-12.348,0
1YVP,55.15,2.331,8.658,3.224,-14.235,0
1YVP,114.65,1.429,1.931,0.63,-3.776,0
1YVP,45.8,1.392,9.138,3.367,-12.212,0
1YVP,69.2,2.578,3.325,1.154,-10.059,0
1YVP,56.85,3.503,4.012,1.568,-13.828,0
1YVP,77.2,2.836,3.367,1.423,-17.394,1
1YVP,69.55,2.462,3.837,0.991,-9.89,0
1YVP,58.6,3.032,3.656,1.26,-12.179,0
1YVP,98.375,2.088,2.363,1.009,-13.327,1
1YVP,54.45,3.755,4.02,1.539,-15.287,0
1YVP,92.1,1.634,1.9,0.642,-14.579,0
1YVP,110.35,1.448,1.783,0.685,-7.183,0
1YVP,77.45,2.306,6.449,3.889,-15.949,0
1YVP,74.25,2.796,3.724,1.589,-15.485,0
1YVP,34.75,4.521,5.652,2.05,-10.22,0
1YVP,90.35,1.742,2.231,0.731,-4.726,0
1YVP,68.65,3.269,4.577,2.508,-14.787,0
1YVP,66.5,3.269,3.703,1.326,-16.733,0
1YVP,66.5,3.385,3.703,1.326,-16.733,0
1YVP,75.15,2.866,3.232,1.266,-16.087,0
1YVP,45.65,3.109,5.614,1.808,-13.586,0
1YVP,100.4,1.819,2.15,0.841,-13.206,0
1YVP,39.95,1.832,15.146,5.938,-10.865,0
1YVP,41.15,1.832,8.642,4.141,-12.019,0
2BH2,181.7,0.8145,1.217,0.522,-9.3045,1
2BH2,152.05,1.073,1.5915,0.6925,-11.001,1
2BH2,228.05,0.712,1.034,0.471,-12.2755,0
2BH2,263.95,0.384,0.646,0.311,-10.526,0
2BH2,221.2,0.6515,1.0085,0.484,-12.084,0
2BH2,202,0.717,0.9255,0.433,-10.9275,0
2BH2,128,1.178,1.628,0.727,-10.905,1
2BH2,175.7,0.7495,1.073,0.506,-11.4735,1
2BH2,178.4,0.7895,1.175,0.511,-12.74,0
2BH2,156.7,0.8135,1.0095,0.455,-13.9915,1
2BH2,152.8,0.99,1.282,0.541,-15.537,0
2BH2,75.5,2.344,2.877,1.292,-8.667,0
2BH2,121,1.408,1.767,0.759,-19.799,0
2BH2,83.9,2.0035,2.362,0.881,-13.962,0
2BH2,50.55,3.122,7.006,1.361,-11.418,0
2BH2,64.3,2.6965,3.227,1.413,-11.751,0
2BH2,125.9,1.262,1.671,0.581,-13.307,0
2BH2,55.3,2.9615,7.296,1.268,-12.829,0
2BH2,116.3,1.5245,1.858,0.786,-16.8,0
2BH2,67.3,2.622,3.981,1.185,-9.148,0
2BH2,135.65,1.2105,1.55,0.708,-12.829,0
2BH2,89.3,2.9035,3.209,1.461,-17.34,0
2BH2,63.85,2.608,5.763,1.158,-13.948,0
2BH2,90.8,1.8075,2.194,0.942,-11.181,0
2BH2,81.25,2.17,2.616,1.083,-16.61,0
2BH2,97.55,1.6995,2.016,0.698,-15.21,0
2BH2,67.55,2.98,4.168,1.317,-15.236,0
2BH2,70.2,2.749,4.408,1.225,-12.97,0
2BH2,72.1,1.982,3.006,0.877,-6.818,0
2BH2,90.25,1.813,2.553,0.741,-14.702,0
2BH2,73.15,2.4975,3.025,1.298,-7.099,0
2BH2,78.05,2.3345,2.816,0.992,-10.195,0
2BH2,140.15,1.093,1.453,0.666,-11.072,0
2BH2,76.45,2.152,2.587,1.015,-14.981,0
2BH2,95.2,2.138,2.412,0.95,-15.928,0
2BH2,57.95,2.946,7.399,1.898,-13.214,0
2BH2,72.85,2.478,3.117,1.264,-14.698,0
2BH2,179,0.726,0.98,0.443,-14.452,0
2BH2,77,2.402,2.789,1.09,-13.571,0
2BH2,78.45,2.636,3.14,1.183,-16.28,0
2BH2,85.1,1.7405,2.977,0.696,-7.295,0
2BH2,70.55,2.6915,3.446,1.276,-12.127,0
2BH2,71.4,2.4,2.876,1.141,-12.248,0
2BH2,139.85,1.123,1.362,0.628,-12.935,0
2BH2,58.5,2.9705,5.289,1.47,-11.558,0
2BH2,58.2,2.5675,3.072,1.359,-6.595,0
2BH2,117.4,1.3465,1.838,0.607,-12.986,0
2BH2,48.9,3.0385,9.818,2.287,-4.644,0
2BH2,56.55,2.8715,3.749,1.519,-10.83,0
2BH2,126.25,1.193,1.505,0.601,-11.838,0
2NUG,53.15,2.953,11.0175,1.2,-9.865,0
2NUG,50.45,3.0905,10.1905,1.0915,-8.8115,0
2NUG,256.5,0.597,0.8245,0.4795,-10.3305,1
2NUG,47.65,3.4055,7.4145,1.3265,-8.942,0
2NUG,51.55,3.046,11.163,1.2215,-8.101,0
2NUG,42.7,3.426,10.6535,1.294,-7.8235,0
2NUG,49.1,3.2345,8.21,1.305,-8.8705,0
2NUG,52.25,2.968,7.7855,0.8825,-8.076,0
2NUG,80.05,1.8355,6.6255,1.0335,-8.018,0
2NUG,83.2,2.0005,2.8375,1.099,-12.357,0
2NUG,47.6,3.322,13.219,1.287,-8.584,0
2NUG,77.75,2.1,7.948,0.983,-4.702,0
2NUG,118.85,1.418,1.68,0.81,-14.063,0
2NUG,57.15,2.85,10.331,1.119,-7.491,0
2NUG,80.8,2.146,2.61,0.849,-10.242,0
2NUG,85.45,2,2.394,1.092,-12.567,0
2NUG,88.95,2.031,2.25,1.033,-15.254,0
2NUG,53.5,2.659,11.156,1.046,-9.14,0
2NUG,41.65,3.6655,7.808,1.388,-7.72,0
2NUG,48.15,3.258,7.159,1.282,-7.76,0
2NUG,46.95,3.549,8.074,1.154,-8.586,0
2NUG,83.4,2.084,2.403,1.118,-15.472,0
2NUG,56.15,2.9225,10.146,1.031,-7.304,0
2NUG,85.95,1.9955,2.345,1.083,-11.842,0
2NUG,57.2,2.7945,10.779,1.222,-8.241,0
2NUG,40.55,3.574,8.218,1.295,-6.306,0
2NUG,221.2,0.6955,0.97,0.547,-6.251,1
2NUG,54.45,3.064,6.057,1.306,-9.337,0
2NUG,52.95,3.085,12.406,1.202,-8.44,0
2NUG,65.2,2.2505,7.415,0.891,-4.851,0
2NUG,58.7,3.0675,11.914,1.374,-8.046,0
2NUG,43.35,3.534,7.556,1.327,-8.621,0
2NUG,88.5,1.996,2.314,1.022,-11.919,0
2NUG,76.45,1.9885,2.346,1.106,-9.625,0
2NUG,53,3.169,6.524,1.284,-9.238,0
2NUG,49.35,3.1975,10.715,1.324,-8.991,0
2NUG,44.3,3.7505,9.55,1.291,-8.941,0
2NUG,48.75,3.166,10.483,1.316,-7.009,0
2NUG,60,2.9415,3.456,1.348,-10.518,0
2NUG,47,3.385,5.617,1.268,-8.849,0
2NUG,45.2,3.597,8.941,1.314,-7.763,0
2NUG,56.25,2.92,11.612,1.208,-7.883,0
2NUG,78.7,1.777,3.371,1.062,-8.856,0
2NUG,49.15,2.8995,11.633,1.011,-6.711,0
2NUG,55.5,3.0595,10.701,1.273,-8.061,0
2NUG,68.4,2.277,8.902,0.925,-8.688,0
2NUG,47.35,3.116,6.308,1.202,-8.697,0
2NUG,50.05,3.1205,7.329,1.253,-8.194,0
2NUG,78,2.2005,2.73,1.153,-11.313,0
2NUG,98.35,1.8135,2.261,1.071,-13.521,0
2QUX,74.65,3.3675,3.969,1.872,-17.5505,0
2QUX,83.1,3.244,3.533,1.688,-21.272,0
2QUX,82.8,3.4855,3.713,1.7585,-19.668,0
2QUX,99.75,2.938,3.2185,1.5405,-18.9905,0
2QUX,109.2,1.7665,2.2705,0.9205,-10.9235,1
2QUX,65.4,3.915,4.178,1.997,-17.65,0
2QUX,88.6,2.7085,3.4185,1.409,-17.66,0
2QUX,74.55,3.6165,3.752,1.7745,-19.194,0
2QUX,75.5,3.6695,3.845,1.779,-17.9905,0
2QUX,69.55,3.929,4.1475,1.9645,-16.747,0
2QUX,54.85,3.782,4.849,2.205,-13.688,0
2QUX,101.95,1.826,2.35,0.933,-12.927,0
2QUX,70.8,2.78,4.157,2,-19.073,0
2QUX,85.35,2.832,3.265,1.355,-17.283,0
2QUX,64.3,3.188,4.818,2.322,-18.671,0
2QUX,76.15,3.26,3.682,1.559,-18.418,0
2QUX,93.8,2.963,3.121,1.496,-18.221,0
2QUX,74.3,3.21,4.146,1.668,-17.338,0
2QUX,72.15,2.9985,4.112,1.971,-20.123,0
2QUX,77.8,3.324,3.788,1.767,-18.931,0
2QUX,87.7,3.302,3.868,1.75,-18.791,0
2QUX,52.5,3.302,4.413,1.873,-12.671,0
2QUX,94.4,2.47,2.716,1.282,-19.211,0
2QUX,101.85,2.468,3.05,1.417,-20.187,0
2QUX,51.6,3.435,5.116,2.015,-12.567,0
2QUX,92.85,2.791,3.243,1.33,-16.788,0
2QUX,123,1.55,1.923,0.852,-13.095,0
2QUX,77.35,3.406,3.872,1.857,-18.918,0
2QUX,70.05,3.922,4.345,2.12,-19.347,0
2QUX,76.5,3.3215,3.613,1.569,-17.56,0
2QUX,85.2,2.123,2.601,1.191,-16.671,0
2QUX,48.5,2.891,5.528,2.678,-12.784,0
2QUX,50.15,2.891,5.554,2.664,-15.318,0
2QUX,78.55,3.1685,3.725,1.85,-18.597,0
2QUX,89.55,2.977,3.49,1.679,-18.134,0
2QUX,55.3,3.309,4.478,1.99,-12.561,0
2QUX,56.15,3.641,7.009,4.125,-16.62,0
2QUX,60.4,3.6,4.433,2.105,-13.437,0
2QUX,61.05,3.36,4.599,2.209,-17.282,0
2QUX,87.95,2.821,3.497,1.633,-20.314,0
2QUX,52.8,4.8,5.16,2.49,-17.609,0
2QUX,56.55,5.3105,6.43,2.746,-14.992,0
2QUX,70.95,3.471,5.476,1.683,-15.743,0
2QUX,75.9,3.0185,3.426,1.611,-20.69,0
2QUX,66.75,4.2765,4.562,2.127,-17.459,0
2QUX,107.15,1.7435,2.268,1.043,-16.477,0
2QUX,61.75,4.6275,4.87,2.298,-16.826,0
2QUX,82.35,3.0295,3.485,1.488,-15.878,0
2QUX,70.3,3.4515,3.676,1.669,-17.914,0
2QUX,98.8,1.694,2.319,0.864,-10.56,0
2XDB,74.4,3.1435,4.589,1.4385,-12.04,0
2XDB,74.65,3.1435,4.1545,1.43,-12.6305,0
2XDB,69.6,3.3605,4.447,1.5335,-11.9,0
2XDB,67.8,2.9565,3.7565,1.483,-13.447,1
2XDB,97.9,2.5335,3.3585,1.1805,-13.4995,0
2XDB,78.25,3.1555,4.3295,1.4995,-14.196,0
2XDB,62.65,2.954,3.5685,1.383,-15.133,0
2XDB,97.1,2.5455,3.502,1.2445,-13.931,0
2XDB,86.8,2.858,4.504,1.296,-14.7155,0
2XDB,54.75,3.2475,3.995,1.6225,-15.444,0
2XDB,55.9,3.11,3.899,1.474,-14.865,0
2XDB,70,3.06,3.55,1.511,-12.086,0
2XDB,84.9,2.94,3.728,1.499,-12.745,0
2XDB,57.8,3.317,3.643,1.595,-16.775,0
2XDB,49.8,3.42,4.14,1.67,-13.7,1
2XDB,43.55,3.65,4.637,1.816,-10.075,0
2XDB,75,3.0985,4.0355,1.4645,-12.508,0
2XDB,87.2,2.474,3.005,1.289,-16.089,0
2XDB,50.2,3.9905,6.2165,1.8485,-10.915,0
2XDB,45.8,3.446,4.1455,1.6815,-10.824,1
2XDB,47.95,3.7535,4.5145,1.827,-12.983,0
2XDB,58.1,4.299,4.7585,2.0955,-17.016,0
2XDB,65.65,2.937,3.3185,1.4115,-17.637,0
2XDB,217.75,0.578,0.95,0.4855,-6.4585,0
2XDB,74.35,2.84,3.557,1.3865,-12.5485,0
2XDB,67.3,3.6205,4.455,1.8385,-14.163,0
2XDB,57.6,4.162,4.484,2.0145,-13.701,0
2XDB,51.9,4.258,5.143,2.0805,-13.609,0
2XDB,37.35,4.2795,5.068,2.1395,-12.236,0
2XDB,47.95,3.25,4.2625,1.589,-10.7035,0
2XDB,42.55,3.672,4.447,1.6105,-11.3545,0
2XDB,42.55,3.672,4.447,1.6105,-11.3545,0
2XDB,57.15,3.726,4.9365,1.727,-11.0285,0
2XDB,92.25,2.253,2.9925,1.058,-13.067,1
2XDB,63.8,3.2285,4.1405,1.592,-13.4185,0
2XDB,53.95,3.846,4.649,2.009,-14.137,0
2XDB,75.7,3.026,3.613,1.511,-18.5735,0
2XDB,56.1,3.498,4.861,1.976,-12.7675,0
2XDB,56.1,3.498,4.861,1.976,-12.768,0
2XDB,45.45,4.011,4.762,1.9085,-12.677,0
2XDB,54.55,4.522,4.8735,2.194,-14.657,0
2XDB,62.7,2.875,3.675,1.425,-10.539,0
2XDB,61.85,3.6115,4.3575,1.962,-16.86,0
2XDB,72.1,3.3065,4.344,1.472,-11.968,0
2XDB,99.15,1.9005,2.737,1.036,-16.9685,0
2XDB,78.8,3.172,3.729,1.571,-14.785,0
2XDB,100.5,2.195,2.861,1.057,-14.033,0
2XDB,81.25,2.943,3.881,1.36,-11.627,1
2XDB,75.9,2.8005,3.5235,1.318,-13.643,0
2XDB,60.5,3.0705,3.753,1.446,-15.847,0
3FOZ,106.45,1.372,2.0815,0.4425,-4.668,1
3FOZ,100.1,1.497,2.2665,0.4955,-6.0215,1
3FOZ,99.35,1.4965,2.262,0.605,-6.9235,1
3FOZ,95,1.683,2.407,0.539,-6.894,1
3FOZ,101.35,1.404,1.979,0.3765,-5.194,1
3FOZ,112.75,1.3445,1.9985,0.4015,-5.2965,1
3FOZ,96.35,1.5375,2.018,0.378,-6.805,1
3FOZ,87.3,1.679,2.3115,0.5925,-8.24,0
3FOZ,89,1.6225,2.2585,0.5755,-8.056,1
3FOZ,87.3,1.6245,2.1355,0.4215,-5.6595,1
3FOZ,70.4,1.907,2.804,0.715,-7.409,0
3FOZ,69.1,1.923,2.67,0.534,-6.766,0
3FOZ,83.8,1.72,2.174,0.401,-6.993,0
3FOZ,84.85,1.6375,2.41,0.531,-7.317,1
3FOZ,75.05,1.7415,2.377,0.572,-7.946,0
3FOZ,68.7,2.0175,2.62,0.501,-8.682,0
3FOZ,81.45,1.796,2.488,0.534,-9.228,0
3FOZ,80.788,1.8005625,2.512,0.538,-9.171,0
3FOZ,93.45,1.5955,2.098,0.426,-5.628,0
3FOZ,74.863,1.7408125,2.391,0.571,-7.721,0
3FOZ,159.4,0.9555,1.308,0.537,-11.861,0
3FOZ,69,2.285,2.682,0.601,-8.17,0
3FOZ,71.4,1.9755,2.462,0.499,-8.258,0
3FOZ,121.95,1.258,1.542,0.53,-14.189,0
3FOZ,72.35,1.966,2.763,0.566,-7.208,0
3FOZ,84.2,1.756,2.416,0.458,-6.21,1
3FOZ,143.45,1.0455,1.462,0.492,-9.775,0
3FOZ,147.35,1.035,1.457,0.582,-8.522,0
3FOZ,83.05,1.5885,2.229,0.514,-6.815,0
3FOZ,131.85,1.1395,1.635,0.523,-7.209,0
3FOZ,78.55,1.882,2.433,0.667,-9.483,0
3FOZ,148.2,1.04,1.942,0.485,-13.521,0
3FOZ,74.85,1.8455,2.607,0.67,-5.893,0
3FOZ,70.75,2.006,2.513,0.54,-7.95,0
3FOZ,77.25,1.7725,2.26,0.471,-4.952,0
3FOZ,118.1,1.3285,1.764,0.632,-13.692,0
3FOZ,139.45,1.122,1.612,0.506,-11.874,0
3FOZ,59.8,2.1345,2.63,0.57,-7.019,0
3FOZ,61.35,2.35,2.884,0.592,-11.25,0
3FOZ,96.95,1.6955,2.172,0.711,-8.241,0
3FOZ,101.9,1.434,2.046,0.588,-10.21,0
3FOZ,156.6,0.9815,1.472,0.403,-11.666,0
3FOZ,73.45,1.973,2.268,0.635,-11.03,0
3FOZ,98.85,1.4605,1.967,0.676,-8.223,0
3FOZ,116.55,1.284,1.857,0.542,-7.717,0
3FOZ,52.8,2.5545,3.508,0.604,-8.944,0
3FOZ,71.6,1.9565,2.41,0.587,-7.364,0
3FOZ,102.4,1.5955,2.168,0.824,-13.49,0
3FOZ,117.25,1.403,1.594,0.757,-17.595,0
3FOZ,55.95,2.6055,3.262,0.666,-8.457,0
3LRR,47.25,5.993,6.067,2.883,-8.3675,1
3LRR,46.05,5.7285,5.974,2.7995,-8.128,0
3LRR,46.1,5.276,5.7255,2.683,-8.1315,1
3LRR,55.95,5.6085,5.974,2.822,-15.5185,0
3LRR,31.15,6.4575,6.55,3.167,-15.4825,0
3LRR,42.85,6.161,6.5695,3.2475,-7.497,0
3LRR,32.2,6.745,7.09,3.305,-7.015,0
3LRR,53.85,6.3175,6.4355,3.1745,-15.579,0
3LRR,50.85,6.226,7.0085,3.298,-9.651,0
3LRR,46.05,6.6845,7.8555,3.3895,-6.475,0
3LRR,43.6,3.796,4.268,1.932,-7.266,1
3LRR,54.6,4.865,5.92,2.421,-10.257,1
3LRR,46.6,4.335,5.027,2.197,-7.396,1
3LRR,29.1,5.032,5.33,2.415,-6.637,0
3LRR,34,4.413,5.04,2.122,-4.069,0
3LRR,45.15,3.543,3.88,1.724,-11.451,0
3LRR,33.9,4.871,5.038,2.23,-8.15,0
3LRR,52.6,5.334,6.254,2.634,-9.209,0
3LRR,59.4,5.591,5.614,2.756,-15.175,0
3LRR,45.4,3.539,3.867,1.78,-13.381,0
3LRR,39.1,3.882,4.171,1.787,-4.387,0
3LRR,37.7,4.175,4.178,1.896,-5.895,1
3LRR,50.15,4.15,4.617,2.013,-10.904,1
3LRR,46.75,4.742,5.017,2.065,-7.427,1
3LRR,45.45,3.505,3.992,1.57,-9.615,0
3LRR,46.95,5.086,6.616,2.517,-7.739,0
3LRR,31.1,5.205,5.536,2.631,-6.791,0
3LRR,50.3,4.917,4.562,2.042,-6.961,0
3LRR,32.85,4.72,5.684,2.24,-3.921,0
3LRR,38.05,4.365,4.621,2.15,-5.074,0
3LRR,58.8,3.322,3.552,1.75,-14.288,0
3LRR,42.85,3.798,4.124,1.979,-13.6,0
3LRR,45.75,4.205,4.041,1.81,-8.856,0
3LRR,25.1,3.271,5.942,2.824,-4.218,0
3LRR,46.6,4.884,5.594,2.41,-8.362,0
3LRR,27.6,5.191,5.538,2.427,-6.529,0
3LRR,80.3,3.102,3.661,1.55,-15.996,1
3LRR,32.3,4.947,5.197,2.565,-8.731,0
3LRR,66.8,3.556,4.373,1.882,-11.544,0
3LRR,39.4,3.909,4.121,1.817,-5.264,0
3LRR,42.3,3.367,3.568,1.348,-7.816,0
3LRR,52.65,3.503,3.95,1.826,-14.703,0
3LRR,28.45,4.868,9.13,2.258,-4.654,0
3LRR,38.25,4.027,4.808,2.047,-5.836,0
3LRR,39.2,4.275,4.655,2.067,-9.094,0
3LRR,41.8,3.714,4.115,1.859,-7.859,0
3LRR,65.9,2.72,3.668,1.521,-9.319,0
3LRR,34.8,4.304,4.63,2.017,-7.483,0
3LRR,38.8,4.241,4.62,2.041,-8.575,0
3LRR,57.15,4.838,6.092,2.435,-14.356,0
3OVB,143.9,1.087,1.331,0.626,-9.2,1
3OVB,148.85,1.093,1.3695,0.654,-8.413,1
3OVB,38.65,4.0055,4.357,1.433,-10.715,0
3OVB,35.55,4.083,4.5085,1.4605,-5.378,0
3OVB,51.1,3.3675,9.9545,2.8595,-7.563,0
3OVB,59.6,2.73,3.2705,1.4865,-10.697,0
3OVB,60,2.395,2.9605,0.95,-10.134,0
3OVB,61.15,2.658,3.1415,1.304,-14.0755,0
3OVB,65.1,2.3705,2.8975,0.9675,-14.9275,0
3OVB,41.95,3.481,4.0855,1.077,-8.047,0
3OVB,42,3.721,4.082,1.184,-11.834,0
3OVB,60.45,2.856,7.136,1.253,-11.521,0
3OVB,53.1,2.866,3.389,0.775,-8.788,0
3OVB,37.7,3.601,4.042,1.119,-9.972,0
3OVB,39.25,3.615,4.072,1.316,-5.13,0
3OVB,76,2.036,2.375,0.802,-8.072,0
3OVB,71.5,2.418,2.878,0.912,-6.575,0
3OVB,51.1,3.658,4.145,1.465,-9.912,0
3OVB,34.4,4.291,4.578,1.538,-4.429,0
3OVB,36.1,4.012,4.556,1.411,-5.352,0
3OVB,99.55,1.952,2.105,1.034,-18.848,0
3OVB,75.45,2.11,2.587,0.904,-15.882,0
3OVB,54.8,3.161,3.961,1.379,-10.477,0
3OVB,73.75,2.1,2.339,0.694,-10.41,0
3OVB,59.25,2.971,3.925,1.24,-8.092,0
3OVB,68.6,3.029,3.278,1.229,-11.709,0
3OVB,49.25,3.12,3.724,1.285,-15.066,0
3OVB,54.65,3.182,3.586,1.503,-10.985,0
3OVB,45.05,3.316,3.723,1.27,-8.728,0
3OVB,67.35,3.259,3.587,1.692,-17.033,0
3OVB,51.4,3.09,3.87,0.887,-11.04,0
3OVB,35.5,4.089,4.636,1.511,-4.537,0
3OVB,65.65,2.467,2.967,1.12,-11.143,0
3OVB,39.65,3.83,4.433,1.493,-3.578,0
3OVB,46.6,3.066,3.597,1.416,-13.424,0
3OVB,57.4,2.603,3.141,0.969,-11.384,0
